tourney_name,tourney_level,tourney_date,surface,round,best_of,winner_name,loser_name,score,winner_rank,loser_rank,winner_rank_points,loser_rank_points
Auckland,WTA250,2026/1/4,Hard,R32,3,Sara Bejlek,Panna Udvardy,7-5 6-1,93,87,792,819
Auckland,WTA250,2026/1/4,Hard,R32,3,Iva Jovic,Gabriela Andrea Knutson,4-6 6-1 6-0,35,182,1423,386
Auckland,WTA250,2026/1/5,Hard,R32,3,Sofia Costoulas,Whitney Osuigwe,6-4 3-6 6-1,159,152,440,455
Auckland,WTA250,2026/1/5,Hard,R32,3,Xinyu Wang,Caty Mcnally,2-6 6-3 7-5,57,83,1056,836
Auckland,WTA250,2026/1/5,Hard,R32,3,Kaitlin Quevedo,Peyton Stearns,6-2 7-5,141,64,509,982
Auckland,WTA250,2026/1/5,Hard,R32,3,Sinja Kraus,Julia Grabher,6-3 6-3,108,92,709,799
Auckland,WTA250,2026/1/5,Hard,R32,3,Francesca Jones,Emma Navarro,7-5 2-6 6-4,72,15,912,2515
Auckland,WTA250,2026/1/5,Hard,R32,3,Renata Zarazua,Sloane Stephens,7-5 4-6 6-2,77,1098,844,14
Auckland,WTA250,2026/1/5,Hard,R32,3,Petra Marcinko,Camila Osorio,6-4 0-6 7-6,82,76,837,860
Auckland,WTA250,2026/1/5,Hard,R32,3,Katie Boulter,Yuliia Starodubtseva,6-3 6-3,112,111,684,685
Auckland,WTA250,2026/1/6,Hard,R32,3,Ella Seidel,Monique Barry,6-2 6-1,84,726,833,52
Auckland,WTA250,2026/1/6,Hard,R32,3,Sonay Kartal,Janice Tjen,6-1 6-7 6-3,68,54,951,1075
Auckland,WTA250,2026/1/6,Hard,R32,3,Magda Linette,Venus Williams,6-4 4-6 6-2,52,582,1089,80
Auckland,WTA250,2026/1/6,Hard,R32,3,Elisabetta Cocciaretto,Alycia Parks,6-2 7-5,81,101,837,760
Auckland,WTA250,2026/1/6,Hard,R32,3,Elina Svitolina,Varvara Gracheva,6-3 6-1,13,75,2606,887
Auckland,WTA250,2026/1/6,Hard,R32,3,Alexandra Eala,Donna Vekic,4-6 6-4 6-4,53,69,1076,935
Auckland,WTA250,2026/1/6,Hard,R16,3,Iva Jovic,Sara Bejlek,7-6 6-4,35,93,1423,792
Auckland,WTA250,2026/1/7,Hard,R16,3,Francesca Jones,Sinja Kraus,1-6 6-4 6-1,72,108,912,709
Auckland,WTA250,2026/1/7,Hard,R16,3,Xinyu Wang,Renata Zarazua,7-5 6-4,57,77,1056,844
